peripheral,type,driver_module,kernel_since,kconfig,source_path,status,effort,UC22,UC24,UC26,R,A,C,I
GPIO03 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO04 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO05 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO06 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO08 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO09 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO10 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
GPIO11 Controller,gpio,gpio-pl061,v2.6.28,GPIO_PL061,drivers/gpio/gpio-pl061.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
USB Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
USB0 Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
USB1 Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
USB2 Controller,usb,xhci-hcd,v2.6.31,USB_XHCI_HCD,drivers/usb/host/xhci.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
ETHERNET Controller,ethernet,stmmac,v3.10,STMMAC_ETH,drivers/net/ethernet/stmicro/stmmac/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
HDMI Controller,hdmi,dw-hdmi,v3.19,DRM_DW_HDMI,drivers/gpu/drm/bridge/synopsys/dw-hdmi.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
MIPI_CSI2 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
MIPI_CSI0 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
MIPI_CSI1 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
MIPI_CSI3 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
MIPI_CSI4 Controller,mipi_csi,mipi-csi2,v5.9,VIDEO_MIPI_CSI2,drivers/media/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
PCIE Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
PCIE0 Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
PCIE1 Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
PCIE2 Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
PCIE3 Controller,pcie,pcie-dwc,v4.1,PCIE_DW_PLAT_HOST,drivers/pci/controller/dwc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
SD Controller,sd,sdhci,v2.6.17,MMC_SDHCI,drivers/mmc/host/sdhci.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
I2S Controller,i2s,snd-soc-i2s,v2.6.29,SND_SOC,sound/soc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
I2S0 Controller,i2s,snd-soc-i2s,v2.6.29,SND_SOC,sound/soc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
I2S1 Controller,i2s,snd-soc-i2s,v2.6.29,SND_SOC,sound/soc/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
QSPI Controller,qspi,spi-nor,v4.0,MTD_SPI_NOR,drivers/mtd/spi-nor/,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
RTC0 Controller,rtc,rtc-ds1307,v2.6.22,RTC_DRV_DS1307,drivers/rtc/rtc-ds1307.c,mainline,low,native,native,native,BSP Engineer,HW Architect,Upstream Team,PM / Integration
